log_bundle_id,log_bundle_size,total_time_taken,event_name
120,4,00:00:03,Parsing
120,4,00:00:02,Caching
120,4,00:00:00,Dashboard Processing
120,4,00:00:02,Panacea 1 Processing
120,4,00:01:23,Log Anomaly Processing
120,4,00:11:43,Total Time
121,35,00:00:02,Downloading
121,35,00:00:00,Extracting
121,35,00:00:00,Metrics Parsing
121,35,00:00:26,Logs Parsing
121,35,00:00:27,Parsing
121,35,00:00:03,Caching
121,35,00:00:00,Dashboard Processing
121,35,00:00:03,Panacea 1 Processing
121,35,00:00:23,Log Anomaly Processing
121,35,00:10:59,Total Time
122,772,00:00:06,Downloading
122,772,00:00:10,Extracting
122,772,00:00:00,Metrics Parsing
122,772,00:00:01,Logs Parsing
122,772,00:00:03,Parsing
122,772,00:00:01,Caching
122,772,00:00:01,Dashboard Processing
122,772,00:00:02,Panacea 1 Processing
122,772,00:00:17,Log Anomaly Processing
122,772,00:10:40,Total Time
124,4302,00:00:05,Downloading
124,4302,00:00:22,Extracting
124,4302,00:03:51,Logs Parsing
124,4302,00:04:03,Metrics Parsing
124,4302,00:04:05,Parsing
124,4302,00:00:14,Caching
124,4302,00:00:11,Dashboard Processing
124,4302,00:00:03,Panacea 1 Processing
124,4302,00:00:12,Log Anomaly Processing
124,4302,00:09:21,LLM Summary Processing
124,4302,00:14:35,Total Time
128,10023,00:00:07,Downloading
128,10023,00:00:32,Extracting
128,10023,00:02:31,Metrics Parsing
128,10023,00:04:20,Logs Parsing
128,10023,00:04:23,Parsing
128,10023,00:00:47,Caching
128,10023,00:00:08,Dashboard Processing
128,10023,00:00:03,Panacea 1 Processing
128,10023,00:00:02,Log Anomaly Processing
128,10023,00:16:05,Total Time
129,16754,00:02:34,Downloading
129,16754,00:00:55,Extracting
129,16754,00:01:28,Metrics Parsing
129,16754,00:02:05,Logs Parsing
129,16754,00:02:07,Parsing
129,16754,00:00:16,Caching
129,16754,00:00:00,Dashboard Processing
129,16754,00:00:03,Panacea 1 Processing
129,16754,00:00:06,Log Anomaly Processing
129,16754,00:02:40,LLM Summary Processing
129,16754,00:08:46,Total Time
130,3228,00:00:05,Downloading
130,3228,00:00:12,Extracting
130,3228,00:00:51,Metrics Parsing
130,3228,00:02:05,Logs Parsing
130,3228,00:02:07,Parsing
130,3228,00:00:16,Caching
130,3228,00:00:01,Dashboard Processing
130,3228,00:00:02,Panacea 1 Processing
130,3228,00:00:05,Log Anomaly Processing
130,3228,00:03:32,LLM Summary Processing
130,3228,00:06:22,Total Time
132,10187,00:00:07,Downloading
132,10187,00:00:26,Extracting
132,10187,00:03:09,Metrics Parsing
132,10187,00:06:03,Logs Parsing
132,10187,00:06:05,Parsing
132,10187,00:00:10,Caching
132,10187,00:00:26,Dashboard Processing
132,10187,00:00:03,Panacea 1 Processing
132,10187,00:00:12,Log Anomaly Processing
132,10187,00:05:53,LLM Summary Processing
132,10187,00:13:24,Total Time
