log_bundle_id,log_bundle_size,total_time_taken,event_name,total_time_taken_seconds,status
130,3228,00:00:02,Panacea 1 Processing,2,expected
130,3228,00:00:05,Log Anomaly Processing,5,expected
130,3228,00:03:32,LLM Summary Processing,212,slow
130,3228,00:06:22,Total Time,382,slow
132,10187,00:00:07,Downloading,7,expected
132,10187,00:00:26,Extracting,26,slow
132,10187,00:03:09,Metrics Parsing,189,slow
132,10187,00:06:03,Logs Parsing,363,slow
132,10187,00:06:05,Parsing,365,slow
132,10187,00:00:10,Caching,10,expected
132,10187,00:00:26,Dashboard Processing,26,extremely slow
132,10187,00:00:03,Panacea 1 Processing,3,slow
132,10187,00:00:12,Log Anomaly Processing,12,expected
132,10187,00:05:53,LLM Summary Processing,353,slow
132,10187,00:13:24,Total Time,804,slow
